Frame Rate:,29.9700000915
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1599,00:00:53.353,6.109538853056031,7.597077793866,2.8864354350401475,7.845103330261946
1600,00:00:53.387,5.336898337062876,6.116592075819402,2.7784651836251153,7.115637751744109
1601,00:00:53.420,5.712101268044403,6.691095169145715,2.85958273002501,7.585625904962485
1602,00:00:53.453,5.582521609407222,6.681881005660129,2.8401342635250755,7.225549559036462
1603,00:00:53.487,6.385184941424247,7.612708964064763,3.0736145847044885,8.469231275503489
1604,00:00:53.520,5.464328024220087,6.015664077925497,2.9391536132683953,7.4381663814663685
1605,00:00:53.554,6.154106884296432,7.054692641832302,3.1724035803606685,8.235224430696327
1606,00:00:53.587,5.717092273265763,6.461892852441753,2.9478741608529684,7.741509806502567
1607,00:00:53.620,6.098964503532096,7.466236672370672,2.9263854152955115,7.904271422930104
1608,00:00:53.654,5.8949585362643155,6.932012636567066,2.87682637883375,7.876036593392128
1609,00:00:53.687,6.066649115879074,7.428656048440174,2.8829801237330526,7.888311175463999
1610,00:00:53.720,6.048023342547498,7.293142029748585,2.9061471633539555,7.94478083453995
1611,00:00:53.754,6.0912640954762844,7.291726997499013,2.970284322758984,8.011780966170857
1612,00:00:53.787,5.407781580448422,6.318283532973542,2.8230551533500066,7.082006055021719
1613,00:00:53.820,5.970503707603879,6.859911807292352,3.0302751085954984,8.021324206923786
1614,00:00:53.854,5.541639243561055,6.6631236014216135,2.7134395155982625,7.248354613663288
1615,00:00:53.887,6.005462682637884,6.842569435303409,3.0514347768856127,8.122383835724628
1616,00:00:53.921,5.107948312930542,5.995228379623535,2.674937475319205,6.653679083848887
1617,00:00:53.954,5.725648282216665,6.776194550480453,3.0438001842832696,7.356950111886271
1618,00:00:53.987,5.507590715633364,6.359714360931947,2.8222324601816506,7.340825325786494
1619,00:00:54.021,6.181200912640954,7.587666184020008,2.901243912070554,8.054692641832302
1620,00:00:54.054,5.797025141503226,6.809398446755298,2.8047584572857707,7.776918520468606
1621,00:00:54.087,6.308520907375718,7.741740160589706,2.919376069501119,8.26444649203633
1622,00:00:54.121,5.875795270062745,7.373601421613795,2.832269316835593,7.4215150717388445
1623,00:00:54.154,11.433098591549296,16.65571936290641,5.104218770567329,12.539357641174147
1624,00:00:54.188,14.059003554034485,21.924147689877582,6.04505067789917,14.207812294326708
1625,00:00:54.221,7.631323768154097,10.520666052389101,3.662728708700803,8.710576543372383
1626,00:00:54.254,7.006274406563995,9.356884296432803,3.1982361458470447,8.463702777412136
1627,00:00:54.288,6.157430564696591,7.5681848097933395,2.9745294195077006,7.929577464788732
1628,00:00:54.321,5.525733842306174,6.660556798736343,2.7876793471107018,7.128965381071476
1629,00:00:54.354,6.6219560352770825,8.232328550743715,3.1275832565486374,8.505956298538896
1630,00:00:54.388,5.758051423807643,6.634790048703436,2.950309332631302,7.689054890088193
1631,00:00:54.421,6.194188495458733,7.260003948927208,3.0755232328550743,8.247038304593918
1632,00:00:54.454,5.6408231319380455,6.744504409635383,2.760662103461893,7.417302882716862
1633,00:00:54.488,6.639287438023782,8.096189285244176,3.1232723443464527,8.698400684480717
1634,00:00:54.521,5.9321223289895135,7.177405554824273,2.8084441226800054,7.810517309464262
1635,00:00:54.555,6.934678162432539,8.868731078057127,3.1346584177964987,8.800644991443992
1636,00:00:54.588,12.026040981089025,17.08411214953271,5.3580360668685,13.635974726865868
1637,00:00:54.621,15.036637269097449,22.898051862577333,6.583388179544557,15.628471765170461
1638,00:00:54.655,7.167950068009302,9.547880742398315,3.5509411609845993,8.405028300644991
1639,00:00:54.688,6.887356851388707,8.821080689745953,3.2899170725286297,8.551072791891537
1640,00:00:54.721,5.259247071212321,6.394596551270238,2.6445965512702383,6.7385481110964855
1641,00:00:54.755,6.233315782545742,7.766289324733448,2.9747268658681056,7.958931157035672
1642,00:00:54.788,5.309705585538151,6.6128405949717,2.5333684349085166,6.782907726734237
1643,00:00:54.821,5.765126585055505,6.780077662235093,2.7336777675398185,7.7816243253916015
1644,00:00:54.855,5.531613356149357,6.856456495985257,2.6126102408845595,7.125773331578254
